00:00:30---->00:00:40	そうします	I will.
00:00:40---->00:00:44	どうもお疲れさまでした	Thank you very much.
00:00:44---->00:00:45	あ、お疲れさまです	Oh, thank you for your time.
00:00:45---->00:00:46	お疲れさまです	thank you for your hard work
00:00:46---->00:00:48	どうもよろしくお願いします	please treat me well
00:00:48---->00:00:49	よろしくお願いします	please remember me
00:00:49---->00:00:50	聞こえておりますか	Can you hear me?
00:00:50---->00:00:52	はい、大丈夫です聞こえてます	Yes, it's okay, I can hear you.
00:00:52---->00:00:53	ありがとうございます	Thank you.
00:00:53---->00:00:55	すみませんお忙しい中お時間ありがとうございます	I'm sorry, sir, and thank you for your time.
00:00:55---->00:00:57	はい、ありがとうございます	Yes, thank you.
00:00:57---->00:01:03	すみません、そうしましたら早速問題に入らせていただければと思うんですけれども	I'm sorry, I'd like to get right into the problem.
00:01:03---->00:01:04	はい	Yes, sir.
00:01:04---->00:01:06	すみません、状態でちょっとお送りさせていただければ	I'm sorry, if you'll allow me to send you a few in the state.
00:01:06---->00:01:12	多分ご平がたくさんあってしまう状態かなというふうに思っているんですけれども	I think there may be a lot of flatness in the situation.
00:01:12---->00:01:16	あの、えっとですね、少々お待ちくださいませ	Um, well, please wait a moment.
00:01:22---->00:01:24	お待ちください	Please wait
00:01:27---->00:01:29	はい	Yes, sir.
00:01:36---->00:01:38	今画面共有させていただいてもよろしいでしょうか	May I share the screen now?
00:01:38---->00:01:40	大丈夫です、はい	I'm fine, yes.
00:01:40---->00:01:41	はい	Yes, sir.
00:01:41---->00:01:47	えっとですね、すみません、ご契約のご状況についてなんですけれども	I'm sorry, I'd like to talk to you about the status of your contract.
00:01:47---->00:01:53	まず、すみません、この表に関しましては以前	First of all, I'm sorry.
00:01:53---->00:01:56	違った部分があったので修正だけさせていただいたんですが	I just had to correct some things that were different.
00:01:56---->00:02:04	一応10月、12月、1月と間隔で頂戴しているような状況でございまして	We have been receiving these in October, December, and January.
00:02:04---->00:02:05	はい	Yes, sir.
00:02:05---->00:02:17	はい、なので、流れとしましては残り投稿本数を投稿しきった状態、投稿した際に	Yes, so the flow is that you have fully posted the number of posts remaining, and when you have posted
00:02:17---->00:02:23	残りの金額の方を頂くというような形の流れになる予定ではあったんですが	We were going to take the rest of the money.
00:02:23---->00:02:28	その状況がこうなぜ起きてしまっているかというところなんですけれども	The question is why this situation is happening.
00:02:28---->00:02:29	はい	Yes, sir.
00:02:29---->00:02:39	あの、本来前もって前もって一番最初の方に後半の本数を前半に持ってきて投稿しようみたいなところを	Um, I was originally going to post the first part of the first half of the first half of the first half of the first half of the first half of the first half of the first half of the first half of the first half.
00:02:39---->00:02:45	多分お伝えしていたところがあったにも関わらず後半、本数が減ったタイミングで	In spite of the fact that I had probably told you about some of them, in the second half, at a time when the number of them was decreasing.
00:02:45---->00:02:52	うちの方で本数が間に合ってないというところで半額にして頂いてしまったというところが	We had to cut the price in half because we didn't have enough bottles to meet the demand.
00:02:52---->00:02:57	金額が、本数がしっかりと年間の本数が上がっているにも関わらず	amount, even though the number of units is firmly up for the year.
00:02:57---->00:03:02	御請求の方が遅れてしまっているという状況が今発生してしまった原因ではあるんですけれども	This is the reason for the delay in the billing process.
00:03:02---->00:03:10	ただここに関しましては上のものとお話しさせていただきまして	However, I would like to discuss this with my superior.
00:03:10---->00:03:15	残りお伝えしていた本数というところを投稿させていただき次第	As soon as I can post the part about the number of books I was telling you about remaining.
00:03:15---->00:03:21	御請求の方は今後なしというところで進めさせていただければというふうに	We would like to proceed with the request without any further request.
00:03:21---->00:03:24	上のものとお話ししておりました	I was speaking with the one above.
00:03:24---->00:03:26	残りいくらなんですかね	How much is left?
00:03:26---->00:03:30	本数と金額間って今どのくらいなんですかね	What is the number of units and the amount between them now?
00:03:30---->00:03:32	ちょっとそれかわからなくて	I'm a little confused about that.
00:03:32---->00:03:33	ありがとうございます	Thank you.
00:03:33---->00:03:37	残りの本数が22本というところになっています	We are at the point where we have 22 bottles left!
00:03:37---->00:03:38	はい	Yes, sir.
00:03:38---->00:03:43	金額としては年間でご計算させていただきますと	The amount is calculated on an annual basis.
00:03:43---->00:03:48	今2月3月というところが今こういったところのお話があったので	I've just heard about this kind of thing in February and March, so I was wondering if you could help me.
00:03:48---->00:03:50	止まっている状況でございまして	We are in a situation where we have stopped.
00:03:50---->00:03:51	はい	Yes, sir.
00:03:51---->00:04:01	トータルで2月開始で1月までいただいている金額の合計が595万8,641円	The total amount we have received since the start of February through January is 5,958,641 yen.
